mass, radius, density
1.5690431593412013e+29 80097189.81000006 9288851.969429119
1.5766109911890292e+29 80305770.81000006 9285332.500862718
1.5841925489918787e+29 80514351.81000006 9281805.620259583
1.5917877911121247e+29 80722932.81000006 9278271.339746036
1.5993966758561627e+29 80931513.81000006 9274729.671467472
1.6070191614760292e+29 81140094.81000006 9271180.627588281
1.614655206168592e+29 81348675.81000006 9267624.220291752
1.622304768077126e+29 81557256.81000006 9264060.46178
1.6299678052906377e+29 81765837.81000006 9260489.36427388
1.6376442758445856e+29 81974418.81000006 9256910.940012913
1.645334137721376e+29 82182999.81000006 9253325.201255186
1.653037348850498e+29 82391580.81000006 9249732.160277285
1.6607538671089736e+29 82600161.81000006 9246131.829374207
1.668483650321673e+29 82808742.81000006 9242524.22085928
1.6762266562616305e+29 83017323.81000006 9238909.347064072
1.6839828426504485e+29 83225904.81000006 9235287.220338317
1.6917521671587492e+29 83434485.81000006 9231657.853049826
1.699534587406174e+29 83643066.81000006 9228021.25758441
1.707330060962194e+29 83851647.81000006 9224377.446345791
1.7151385453459754e+29 84060228.81000006 9220726.43175552
1.7229599980272795e+29 84268809.81000006 9217068.226252895
1.7307943764262383e+29 84477390.81000006 9213402.842294885
1.7386416379142096e+29 84685971.81000006 9209730.292356033
1.7465017398136872e+29 84894552.81000006 9206050.588928375
1.7543746393989765e+29 85103133.81000006 9202363.744521372
1.7622602938965094e+29 85311714.81000006 9198669.771661805
1.770158660484935e+29 85520295.81000006 9194968.682893708
1.778069696295794e+29 85728876.81000006 9191260.490778277
1.7859933584136106e+29 85937457.81000006 9187545.207893789
1.793929603876521e+29 86146038.81000006 9183822.846835513
1.8018783896761845e+29 86354619.81000006 9180093.420215633
1.8098396727586843e+29 86563200.81000006 9176356.94066316
1.817813410024572e+29 86771781.81000006 9172613.420823853
1.8257995583290475e+29 86980362.81000006 9168862.873360127
1.833798074482771e+29 87188943.81000006 9165105.31095098
1.841808915251726e+29 87397524.81000006 9161340.746291898
1.849832037357987e+29 87606105.81000006 9157569.19209478
1.8578673974798527e+29 87814686.81000006 9153790.661087848
1.865914952251937e+29 88023267.81000006 9150005.166015567
1.87397465826643e+29 88231848.81000006 9146212.719638556
1.8820464720721972e+29 88440429.81000006 9142413.334733512
1.8901303501762207e+29 88649010.81000006 9138607.024093114
1.8982262490430584e+29 88857591.81000006 9134793.800525948
1.9063341250961958e+29 89066172.81000008 9130973.676856425
1.9144539347173695e+29 89274753.81000008 9127146.665924687
1.9225856342476942e+29 89483334.81000008 9123312.78058653
1.9307291799873014e+29 89691915.81000008 9119472.033713318
1.938884528196601e+29 89900496.81000008 9115624.438191896
1.947051635095741e+29 90109077.81000008 9111770.006924512
1.955230456865552e+29 90317658.81000008 9107908.752828723
1.963420949647775e+29 90526239.81000008 9104040.68883732
1.9716230695449232e+29 90734820.81000008 9100165.827898234
1.979836772621545e+29 90943401.81000008 9096284.182974461
1.988062014903638e+29 91151982.81000008 9092395.76704398
1.9962987523797748e+29 91360563.81000008 9088500.593099646
2.0045469410011032e+29 91569144.81000008 9084598.674149137
2.012806536681301e+29 91777725.81000008 9080690.023214843
2.021077495297972e+29 91986306.81000008 9076774.653333794
2.0293597726917006e+29 92194887.81000008 9072852.577557577
2.037653324667538e+29 92403468.81000008 9068923.808952246
2.0459581069948662e+29 92612049.81000008 9064988.36059824
2.0542740754075346e+29 92820630.81000008 9061046.245590296
2.0626011856044893e+29 93029211.81000008 9057097.47703736
2.070939393250269e+29 93237792.81000008 9053142.068062522
2.0792886539750495e+29 93446373.81000008 9049180.0318029
2.0876489233750053e+29 93654954.81000008 9045211.381409582
2.0960201570130285e+29 93863535.81000008 9041236.130047534
2.104402310418505e+29 94072116.81000008 9037254.290895503
2.112795339088304e+29 94280697.81000008 9033265.877145952
2.1211991984866443e+29 94489278.81000008 9029270.902004957
2.1296138440454987e+29 94697859.81000008 9025269.378692135
2.1380392311653148e+29 94906440.81000008 9021261.320440557
2.146475315215105e+29 95115021.81000008 9017246.740496647
2.1549220515323112e+29 95323602.81000008 9013225.652120123
2.163379395424382e+29 95532183.81000008 9009198.068583898
2.171847302167826e+29 95740764.81000008 9005164.003173992
2.1803257270094275e+29 95949345.81000008 9001123.469189456
2.1888146251661128e+29 96157926.81000008 8997076.47994228
2.197313951825579e+29 96366507.81000008 8993023.048757313
2.205823662146701e+29 96575088.81000008 8988963.188972173
2.21434371125926e+29 96783669.81000008 8984896.913937168
2.2228740542652498e+29 96992250.81000008 8980824.23701521
2.231414646238697e+29 97200831.81000008 8976745.171581721
2.2399654422257063e+29 97409412.81000008 8972659.73102456
2.2485263972454052e+29 97617993.81000008 8968567.928743936
2.257097466290125e+29 97826574.81000008 8964469.778152315
2.265678604325491e+29 98035155.81000008 8960365.292674344
2.2742697662909623e+29 98243736.81000008 8956254.48574676
2.2828709071005974e+29 98452317.81000008 8952137.370818313
2.2914819816424245e+29 98660898.81000008 8948013.961349666
2.3001029447794316e+29 98869479.81000008 8943884.270813327
2.308733751350107e+29 99078060.81000008 8939748.312693559
2.3173743561684398e+29 99286641.81000008 8935606.100486282
2.326024714024234e+29 99495222.81000008 8931457.647699013
2.3346847796836058e+29 99703803.81000008 8927302.96785076
2.3433545078893415e+29 99912384.81000008 8923142.074471943
2.352033853361035e+29 100120965.81000008 8918974.981104312
2.3607227707959412e+29 100329546.81000008 8914801.701300863
2.369421214868618e+29 100538127.81000008 8910622.248625744
2.3781291402318702e+29 100746708.81000008 8906436.636654187
2.3868465015167955e+29 100955289.81000008 8902244.878972402
2.3955732533330544e+29 101163870.81000008 8898046.98917751
2.404309350269726e+29 101372451.81000008 8893842.980877452
2.4130547468950374e+29 101581032.81000008 8889632.8676909
2.421809397756815e+29 101789613.81000008 8885416.66324718
2.4305732573834744e+29 101998194.81000008 8881194.381186174
2.439346280283435e+29 102206775.81000008 8876966.035158258
2.448128420945931e+29 102415356.81000008 8872731.638824195
2.4569196338418222e+29 102623937.81000008 8868491.20585506
2.4657198734227827e+29 102832518.81000008 8864244.749932153
2.4745290941227426e+29 103041099.81000008 8859992.28474692
2.4833472503578878e+29 103249680.81000008 8855733.824000863
2.4921742965263896e+29 103458261.81000008 8851469.381405454
2.5010101870100265e+29 103666842.81000008 8847198.970682055
2.509854876173103e+29 103875423.81000008 8842922.60556183
2.5187083183640704e+29 104084004.81000008 8838640.299785659
2.5275704679148077e+29 104292585.81000008 8834352.067104064
2.5364412791415206e+29 104501166.81000008 8830057.921277108
2.5453207063455532e+29 104709747.81000008 8825757.876074327
2.554208703812397e+29 104918328.81000008 8821451.945274636
2.563105225813312e+29 105126909.81000008 8817140.142666241
