mass_enclosed, radius, density
3.8184002508184406e+31 99078060.81000008 8941817.856963037
3.841487583528757e+31 99286641.81000008 8937678.768424079
3.8646613222692815e+31 99495222.81000008 8933533.432548488
3.8879215645703664e+31 99703803.81000008 8929381.862849541
3.9112684075100292e+31 99912384.81000008 8925224.07285198
3.9347019477137117e+31 100120965.81000008 8921060.076091906
3.958222281354055e+31 100329546.81000008 8916889.886116719
3.98182950415067e+31 100538127.81000008 8912713.516485007
4.0055237113699154e+31 100746708.81000008 8908530.980766483
4.029304997824677e+31 100955289.81000008 8904342.29254189
4.0531734578741515e+31 101163870.81000008 8900147.465402914
4.077129185423633e+31 101372451.81000008 8895946.512952108
4.101172273924308e+31 101581032.81000008 8891739.448802797
4.12530281637304e+31 101789613.81000008 8887526.286579004
4.149520905312177e+31 101998194.81000008 8883307.039915353
4.173826632829348e+31 102206775.81000008 8879081.722456995
4.198220090557266e+31 102415356.81000008 8874850.34785952
4.222701369673538e+31 102623937.81000008 8870612.929788869
4.24727056090048e+31 102832518.81000008 8866369.48192125
4.271927754504923e+31 103041099.81000008 8862120.017943056
4.29667304029804e+31 103249680.81000008 8857864.551550785
4.3215065076351605e+31 103458261.81000008 8853603.096450942
4.346428245415604e+31 103666842.81000008 8849335.666359967
4.3714383420825e+31 103875423.81000008 8845062.275004145
4.396536885622627e+31 104084004.81000008 8840782.936119514
4.421723963566243e+31 104292585.81000008 8836497.663451804
4.44699966298693e+31 104501166.81000008 8832206.470756322
4.472364070501429e+31 104709747.81000008 8827909.371797893
4.497817272269495e+31 104918328.81000008 8823606.380350761
4.523359353993738e+31 105126909.81000008 8819297.51019851
4.548990400919483e+31 105335490.81000008 8814982.775133973
4.574710497834618e+31 105544071.81000008 8810662.18895916
4.600519729069462e+31 105752652.81000009 8806335.765485168
