mass, radius, density
5.7324092881810e+32 9.1128974112358e+11 2.7169772114885e-01
5.7642104698932e+32 9.1237330827527e+11 2.7260732887830e-01
5.7941136954576e+32 9.1345356795899e+11 2.7282484683549e-01
5.8260615867838e+32 9.1453543111646e+11 2.7178997729326e-01
5.8578901946796e+32 9.1565127769084e+11 2.7135546369903e-01
5.8875748046885e+32 9.1672209677424e+11 2.7334209849467e-01
5.9192588207572e+32 9.1777741556924e+11 2.7657410067344e-01
5.9490291190282e+32 9.1882136330962e+11 2.7905120889786e-01
5.9809594932072e+32 9.1986160607196e+11 2.7937573572416e-01
6.0129238101731e+32 9.2093871404579e+11 2.7786754925278e-01
6.0446407015716e+32 9.2201192040782e+11 2.7823484347046e-01
6.0741177697365e+32 9.2303147802594e+11 2.8324247065454e-01
6.1056451006642e+32 9.2402406371940e+11 2.9003060931378e-01
6.1375650477615e+32 9.2503801719076e+11 2.9252581541514e-01
6.1696980710326e+32 9.2606039244507e+11 2.8949114552951e-01
6.1998062901660e+32 9.2706490851853e+11 2.8473965920990e-01
6.2311995037986e+32 9.2806024790819e+11 2.8671757044294e-01
6.2632673780227e+32 9.2907741137863e+11 2.8907266503741e-01
6.2956257436949e+32 9.3011496109099e+11 2.8282899330396e-01
6.3277393353095e+32 9.3117450245585e+11 2.7629955717421e-01
6.3597118304830e+32 9.3224371107852e+11 2.7316296056197e-01
6.3895719402990e+32 9.3328054212302e+11 2.7228222505875e-01
6.4213223533973e+32 9.3431105067328e+11 2.7329090300069e-01
6.4531335715805e+32 9.3536735272725e+11 2.7464015947889e-01
6.4847894305748e+32 9.3641297055183e+11 2.7684080129741e-01
6.5165159681871e+32 9.3744521577895e+11 2.7979931620036e-01
6.5481320164278e+32 9.3846307554928e+11 2.8313594462190e-01
6.5796466057001e+32 9.3946012602270e+11 2.8843028292969e-01
6.6116517268059e+32 9.4044878849775e+11 2.9023701521062e-01
6.6440219821407e+32 9.4145580459625e+11 2.8440966662021e-01
6.6760698838071e+32 9.4248261213129e+11 2.7827035895683e-01
6.7079153760057e+32 9.4351279262392e+11 2.7675333825354e-01
6.7395975093908e+32 9.4453461727680e+11 2.7840992690856e-01
6.7713770968237e+32 9.4554608619552e+11 2.8064499124774e-01
6.8052980324161e+32 9.4658652294362e+11 2.8076733192626e-01
6.8371052327370e+32 9.4762519087246e+11 2.8064267818502e-01
6.8687590302333e+32 9.4862207606126e+11 2.8291253190807e-01
6.9003017602056e+32 9.4960074032247e+11 2.8758714206628e-01
6.9319749109661e+32 9.5056213593382e+11 2.9212844876864e-01
6.9636826969664e+32 9.5151163470780e+11 2.9518846882813e-01
6.9971498819730e+32 9.5247302761013e+11 2.9996504953591e-01
7.0287235194253e+32 9.5341387306600e+11 3.0609108444549e-01
7.0604300163470e+32 9.5431185455895e+11 3.1026854888789e-01
7.0920786700824e+32 9.5519823686427e+11 3.1373274785702e-01
7.1257677629875e+32 9.5610038312848e+11 3.1723625606757e-01
7.1575225470703e+32 9.5699413920963e+11 3.1970192082899e-01
7.1890973035069e+32 9.5784893016078e+11 3.2351336603580e-01
7.2228413069901e+32 9.5871846696245e+11 3.2732296865188e-01
7.2547534038663e+32 9.5958554495127e+11 3.2769094177300e-01
7.2865960034726e+32 9.6042617813039e+11 3.2716872328102e-01
7.3200771319939e+32 9.6128175595175e+11 3.3084084461831e-01
7.3516413873806e+32 9.6211950412896e+11 3.3750172011369e-01
7.3835538686264e+32 9.6292438190353e+11 3.3990580299647e-01
7.4173139129109e+32 9.6375252928893e+11 3.4007278931393e-01
7.4489586110428e+32 9.6457218830278e+11 3.4313248662743e-01
7.4827342626318e+32 9.6538329290879e+11 3.4604231464523e-01
7.5144369515323e+32 9.6618791050901e+11 3.4834208873242e-01
7.5480394468426e+32 9.6698148412083e+11 3.5247272218846e-01
7.5797234379345e+32 9.6776437360439e+11 3.5683158549875e-01
7.6134793452830e+32 9.6853975911772e+11 3.5959523300373e-01
7.6451806793353e+32 9.6930859033835e+11 3.6218323038958e-01
7.6787852459962e+32 9.7006703428053e+11 3.6641575247780e-01
7.7105353760025e+32 9.7081695822458e+11 3.7012184888088e-01
7.7445504032267e+32 9.7156727570509e+11 3.6937191615223e-01
7.7782610911588e+32 9.7234004227624e+11 3.6888015847614e-01
7.8096854741318e+32 9.7307646612225e+11 3.7532212218905e-01
7.8434069249873e+32 9.7379899367450e+11 3.8168413167149e-01
7.8752484664403e+32 9.7451794885239e+11 3.8306989081419e-01
7.9087338236389e+32 9.7522795730042e+11 3.8724805226820e-01
7.9418912067146e+32 9.7593642431960e+11 3.9950970576759e-01
7.9734870976725e+32 9.7660389554337e+11 4.1093756536215e-01
8.0075271342427e+32 9.7726907160730e+11 4.1175258975870e-01
8.0416173557323e+32 9.7796259450019e+11 4.0624605162599e-01
8.0751548926172e+32 9.7865415213972e+11 4.0684829164764e-01
8.1066715127168e+32 9.7931182626702e+11 4.1480281093667e-01
8.1405733579071e+32 9.7996284849081e+11 4.1829513403085e-01
8.1741570620797e+32 9.8062897705410e+11 4.2066256625190e-01
8.2080341065625e+32 9.8128999610918e+11 4.2330017085520e-01
8.2415539447045e+32 9.8194478961553e+11 4.2678147617924e-01
8.2735841264174e+32 9.8257706850378e+11 4.2833823904821e-01
8.3072393824691e+32 9.8320879021002e+11 4.2814063010158e-01
8.3409930230870e+32 9.8385391580897e+11 4.3144955967429e-01
8.3746301735153e+32 9.8449291250747e+11 4.3503559738953e-01
8.4081973108802e+32 9.8512233756239e+11 4.4109020110158e-01
8.4420335308585e+32 9.8574596224333e+11 4.4462327156668e-01
8.4756575964075e+32 9.8636493325090e+11 4.4739878252440e-01
8.5092416250417e+32 9.8697476132375e+11 4.5351755527345e-01
8.5428712325655e+32 9.8757567506417e+11 4.5970913413514e-01
8.5764245859291e+32 9.8816724787136e+11 4.6641413868633e-01
8.6100644391794e+32 9.8874984212130e+11 4.7298745296243e-01
8.6436219590570e+32 9.8932371942599e+11 4.7964546774894e-01
8.6778247163307e+32 9.8989841589037e+11 4.7843280588347e-01
8.7113263552491e+32 9.9047298193910e+11 4.7795532644489e-01
